CEL_FILE_NAME	SAMPLE_NAME	ORDER	BATCH_ID	POPULATION	LINEAGE	SOURCE_OF_CELL	REPLICATE_NUMBER	POPULATION_NUMBER	SORT_LOCATION	CONCENTRATION_OF_STARTING_RNA(NG/UL)	CELL_COUNT_FROM_SORT	P_CALL%
5202764005789146112904.H04.CEL	MEP_2	26	HTA3	MEP	MYP	CB	2	4	MGH	2.63	3200	48.3
5202764005789146112904.G03.CEL	MEP_3	27	HTA3	MEP	MYP	CB	3	4	MGH	2.65	6800	49.1
5202764005790179113004.F02.CEL	MEP_6	28	HTA4	MEP	MYP	CB	6	4	MGH	5.6	20000	44.2
5202764005790179113004.H06.CEL	MEP_7 	29	HTA4	MEP	MYP	CB	7	4	MGH	8.64	20000	40.4
5202764005790179113004.H03.CEL	MEP_8 	30	HTA4	MEP	MYP	CB	8	4	MGH	7.49	20000	39.6
5202764005792184120204.C03.CEL	MEP_9 	31	HTA5	MEP	MYP	CB	9	4	MGH	5.51	16595	36
5202764006152214120704.H08.CEL	ERY1_3	32	HTA1	ERY1	ERY_EARLY	CB	3	5.1	MGH	3.13	6500	41.6
5202764006152214120704.H12.CEL	ERY1_4	33	HTA1	ERY1	ERY_EARLY	CB	4	5.1	MGH	3.51	10000	27.9
5202764006152214120704.E09.CEL	ERY1_8	34	HTA1	ERY1	ERY_EARLY	CB	8	5.1	MGH	1.85	7000	43
5202764006152214120704.A05.CEL	ERY1_9	35	HTA1	ERY1	ERY_EARLY	CB	9	5.1	MGH	1.22	37000	44
5202764005789149112904.D02.CEL	ERY1_5	36	HTA2	ERY1	ERY_EARLY	CB	5	5.1	MGH	3.15	10000	43.6
5202764005789146112904.H10.CEL	ERY1_6	37	HTA3	ERY1	ERY_EARLY	CB	6	5.1	MGH	2.3	3000	41.9
5202764005790179113004.H10.CEL	ERY1_7	38	HTA4	ERY1	ERY_EARLY	CB	7	5.1	MGH	1.38	12000	40.5
5202764006152214120704.A06.CEL	ERY2_5	39	HTA1	ERY2	ERY_EARLY	CB	5	5.2	MGH	4.65	50000	42.2
5202764006152214120704.F07.CEL	ERY2_6	40	HTA1	ERY2	ERY_EARLY	CB	6	5.2	MGH	5.25	50000	47.9
5202764005789149112904.F01.CEL	ERY2_4	41	HTA2	ERY2	ERY_EARLY	CB	4	5.2	MGH	4.86	20000	48.6
5202764005789149112904.A02.CEL	ERY2_7	42	HTA2	ERY2	ERY_EARLY	CB	7	5.2	MGH	1.14	20000	50.5
5202764005789149112904.B11.CEL	ERY2_8	43	HTA2	ERY2	ERY_EARLY	CB	8	5.2	MGH	3.72	10000	48.1
5202764005789149112904.G02.CEL	ERY2_9	44	HTA2	ERY2	ERY_EARLY	CB	9	5.2	MGH	1.3	6000	36.7
5202764005792184120204.A04.CEL	ERY2_3	45	HTA5	ERY2	ERY_EARLY	CB	3	5.2	MGH	0.44	6200	15.2
5202764006152214120704.C09.CEL	ERY3_4	46	HTA1	ERY3	ERY	CB	4	5.3	MGH	9.79	200000	16.9
5202764006152214120704.D02.CEL	ERY3_6	47	HTA1	ERY3	ERY	CB	6	5.3	MGH	5.71	100000	20.3
5202764005789149112904.G08.CEL	ERY3_7	48	HTA2	ERY3	ERY	CB	7	5.3	MGH	2.27	100000	25.8
5202764005789149112904.D03.CEL	ERY3_8	49	HTA2	ERY3	ERY	CB	8	5.3	MGH	1.48	42000	39.4
5202764005789146112904.A12.CEL	ERY3_3	50	HTA3	ERY3	ERY	CB	3	5.3	MGH	5.3	100000	30.6
5202764005789146112904.G09.CEL	ERY3_5	51	HTA3	ERY3	ERY	CB	5	5.3	MGH	6.1	100000	32.1
5202764006152214120704.F10.CEL	ERY4_9	52	HTA1	ERY4	ERY	CB	9	5.4	MGH	1.84	74000	41.8
5202764005789149112904.D12.CEL	ERY4_4	53	HTA2	ERY4	ERY	CB	4	5.4	MGH	4.58	100000	24.4
5202764005789149112904.F07.CEL	ERY4_6	54	HTA2	ERY4	ERY	CB	6	5.4	MGH	5.26	100000	25.1
5202764005789146112904.H06.CEL	ERY4_3	55	HTA3	ERY4	ERY	CB	3	5.4	MGH	3.26	50000	19.8
5202764005790179113004.B04.CEL	ERY4_5	56	HTA4	ERY4	ERY	CB	5	5.4	MGH	6.31	100000	19.4
5202764005790179113004.G12.CEL	ERY4_7	57	HTA4	ERY4	ERY	CB	7	5.4	MGH	NA	50000	36.0
5202764005790179113004.B02.CEL	ERY4_8	58	HTA4	ERY4	ERY	CB	8	5.4	MGH	1.41	20000	33.6
5202764005789149112904.H10.CEL	ERY5_3	59	HTA2	ERY5	ERY	CB	3	5.5	MGH	2.06	40000	21.8
5202764005789149112904.A01.CEL	ERY5_6	60	HTA2	ERY5	ERY	CB	6	5.5	MGH	3.22	50000	30.5
5202764005789149112904.E05.CEL	ERY5_8	61	HTA2	ERY5	ERY	CB	8	5.5	MGH	1.79	7000	37.2
5202764005789149112904.G12.CEL	ERY5_9	62	HTA2	ERY5	ERY	CB	9	5.5	MGH	0.87	20000	40.8
5202764005790179113004.G05.CEL	ERY5_5	63	HTA4	ERY5	ERY	CB	5	5.5	MGH	3.35	100000	20.4
5202764005790179113004.D03.CEL	ERY5_7	64	HTA4	ERY5	ERY	CB	7	5.5	MGH	1.13	8500	18
5202764005792184120204.C05.CEL	MEGA1_3	65	HTA5	MEGA1	MEGA	CB	3	6.1	MGH	2.03	135000	30.8
5202764005792184120204.F06.CEL	MEGA1_4	66	HTA5	MEGA1	MEGA	CB	4	6.1	MGH	3.63	15000	32.4
5202764005792184120204.G08.CEL	MEGA1_6	67	HTA5	MEGA1	MEGA	CB	6	6.1	MGH	1.79	3400	31.9
5202764005792185120204.D01.CEL	MEGA1_2	68	HTA6	MEGA1	MEGA	CB	2	6.1	MGH	1.85	19000	30.2
5202764005792185120204.F05.CEL	MEGA1_5	69	HTA6	MEGA1	MEGA	CB	5	6.1	MGH	2.71	3500	34.1
5202764005792185120204.B03.CEL	MEGA1_7	70	HTA6	MEGA1	MEGA	CB	7	6.1	MGH	0.23	2100	29.3
5202764005792184120204.F10.CEL	MEGA2_3	71	HTA5	MEGA2	MEGA	CB	3	6.2	MGH	6.09	93000	26.6
5202764005792184120204.B10.CEL	MEGA2_5	72	HTA5	MEGA2	MEGA	CB	5	6.2	MGH	2.76	25000	30.6
5202764005792185120204.G03.CEL	MEGA2_2	73	HTA6	MEGA2	MEGA	CB	2	6.2	MGH	2.88	53000	26
5202764005792185120204.E03.CEL	MEGA2_4	74	HTA6	MEGA2	MEGA	CB	4	6.2	MGH	5.38	27000	32.6
5202764005792185120204.C01.CEL	MEGA2_6	75	HTA6	MEGA2	MEGA	CB	6	6.2	MGH	2.53	2600	32
5202764005792185120204.H06.CEL	MEGA2_7	76	HTA6	MEGA2	MEGA	CB	7	6.2	MGH	1.8	36000	23.6
5202764005789149112904.A12.CEL	GRAN1_2	77	HTA2	GRAN1	GM_EARLY	CB	2	7.1	MGH	15.59	200000	52
5202764005789146112904.A03.CEL	GRAN1_3	78	HTA3	GRAN1	GM_EARLY	CB	3	7.1	MGH	4.64	50000	49.5
5202764005789146112904.H03.CEL	GRAN1_4	79	HTA3	GRAN1	GM_EARLY	CB	4	7.1	MGH	4.19	6075	50.7
5202764005789146112904.D01.CEL	GRAN1_5	80	HTA3	GRAN1	GM_EARLY	CB	5	7.1	MGH	12.97	46000	52.2
5202764005789146112904.B08.CEL	GRAN1_6	81	HTA3	GRAN1	GM_EARLY	CB	6	7.1	MGH	11.55	64000	51.6
5202764005789149112904.F03.CEL	GRAN2_2	82	HTA2	GRAN2	GM	CB	2	7.2	MGH	4.35	54000	48.4
5202764005789146112904.F03.CEL	GRAN2_4	83	HTA3	GRAN2	GM	CB	4	7.2	MGH	10.16	40000	48.7
5202764005789146112904.G11.CEL	GRAN2_5	84	HTA3	GRAN2	GM	CB	5	7.2	MGH	13.5	80000	50.7
5202764005789146112904.G02.CEL	GRAN2_6	85	HTA3	GRAN2	GM	CB	6	7.2	MGH	15.09	100000	50.9
5202764006152214120704.G02.CEL	GRAN3_3	86	HTA1	GRAN3	GM	CB	3	7.3	MGH	3.41	33000	45.3
5202764005789146112904.B07.CEL	GRAN3_4	87	HTA3	GRAN3	GM	CB	4	7.3	MGH	3.09	11455	47.8
5202764005789146112904.A07.CEL	GRAN3_5	88	HTA3	GRAN3	GM	CB	5	7.3	MGH	7.99	37000	50
5202764005789146112904.D07.CEL	GRAN3_6	89	HTA3	GRAN3	GM	CB	6	7.3	MGH	7.49	31000	49.3
5202764005789149112904.G04.CEL	MONO1_2	90	HTA2	MONO1	GM	CB	2	8	MGH	2.17	5000	47.7
5202764005792185120204.C05.CEL	MONO1_1	91	HTA6	MONO1	GM	CB	1	8	MGH	1.56	10000	34.3
5202764005792185120204.A03.CEL	MONO1_3	92	HTA6	MONO1	GM	CB	3	8	MGH	2.31	50000	30.4
5202764005792185120204.G01.CEL	MONO1_4	93	HTA6	MONO1	GM	CB	4	8	MGH	1.34	29000	31.7
5202764005790179113004.G06.CEL	MONO2_1 	94	HTA4	MONO2	GM	CB	1	8	MGH	16.18	100000	44.8
5202764005790179113004.F04.CEL	MONO2_2 	95	HTA4	MONO2	GM	CB	2	8	MGH	16.11	100000	47.3
5202764005790179113004.F07.CEL	MONO2_3 	96	HTA4	MONO2	GM	CB	3	8	MGH	13.56	100000	44.9
5202764005790179113004.B05.CEL	MONO2_4 	97	HTA4	MONO2	GM	CB	4	8	MGH	10.92	37000	43.7
5202764005792185120204.A05.CEL	MONO2_5	98	HTA6	MONO2	GM	CB	5	8	MGH	7.02	43000	35
5202764005790179113004.G09.CEL	EOS2_3	99	HTA4	EOS2	EOS	CB	3	9	MGH	4.09	18100	42.5
5202764005792184120204.B02.CEL	EOS2_1	100	HTA5	EOS2	EOS	CB	1	9	MGH	3.24	10600	27.1
5202764005792184120204.G03.CEL	EOS2_4	101	HTA5	EOS2	EOS	CB	4	9	MGH	2.69	5818	27.2
5202764005792185120204.E04.CEL	EOS2_2	102	HTA6	EOS2	EOS	CB	2	9	MGH	2.16	11300	36.7
5202764005792185120204.D06.CEL	EOS2_5	103	HTA6	EOS2	EOS	CB	5	9	MGH	2.2	7500	32.1
5202764005792184120204.C07.CEL	BASO1_4	104	HTA5	BASO1	BASO	CB	4	10	MGH	4.18	9700	26.7
5202764005792184120204.C04.CEL	BASO1_6	105	HTA5	BASO1	BASO	CB	6	10	MGH	0.1	7000	25.9
5202764005792185120204.E02.CEL	BASO1_3	106	HTA6	BASO1	BASO	CB	3	10	MGH	2.31	1200	26.8
5202764005792185120204.H05.CEL	BASO1_5	107	HTA6	BASO1	BASO	CB	5	10	MGH	1.67	25000	20.9
5202764005792185120204.D02.CEL	BASO1_7	108	HTA6	BASO1	BASO	CB	7	10	MGH	1.14	4700	27.3
5202764005792185120204.G02.CEL	BASO1_8	109	HTA6	BASO1	BASO	CB	8	10	MGH	2.88	45000	33
5202764005792184120204.D08.CEL	PRE_BCELL2_1	110	HTA5	PRE_BCELL2	PRE_BCELL	CB	1	12.2	DFCI	3.35	22257	24.3
5202764005792184120204.E04.CEL	PRE_BCELL2_3	111	HTA5	PRE_BCELL2	PRE_BCELL	CB	3	12.2	DFCI	0.43	13749	23.3
5202764005792184120204.D03.CEL	PRE_BCELL2_4	112	HTA5	PRE_BCELL2	PRE_BCELL	CB	4	12.2	DFCI	0.40	4269	12.6
5202764005792184120204.G07.CEL	PRE_BCELL2_6	113	HTA5	PRE_BCELL2	PRE_BCELL	CB	6	12.2	DFCI	1.76	11943	24.9
5202764005792184120204.E08.CEL	PRE_BCELL3_1	114	HTA5	PRE_BCELL3	PRE_BCELL	CB	1	12.3	DFCI	2.9	7904	25
5202764005792184120204.D09.CEL	PRE_BCELL3_3	115	HTA5	PRE_BCELL3	PRE_BCELL	CB	3	12.3	DFCI	1.6	10409	25.7
5202764005792184120204.F04.CEL	PRE_BCELL3_4	116	HTA5	PRE_BCELL3	PRE_BCELL	CB	4	12.3	DFCI	0.1	5109	18.9
5202764005792184120204.B05.CEL	PRE_BCELL3_5	117	HTA5	PRE_BCELL3	PRE_BCELL	CB	5	12.3	DFCI	0.1	17429	19.9
5202764005792184120204.G11.CEL	PRE_BCELL3_6	118	HTA5	PRE_BCELL3	PRE_BCELL	CB	6	12.3	DFCI	2.24	9690	34.2
5202764005789146112904.E11.CEL	BCELLA1_1	119	HTA3	BCELLA1	BCELL	PB	1	13.1	DFCI	20.8	748347	46.7
5202764005789146112904.H01.CEL	BCELLA1_2	120	HTA3	BCELLA1	BCELL	PB	2	13.1	DFCI	22.44	1788883	46.7
5202764005789146112904.A10.CEL	BCELLA1_3	121	HTA3	BCELLA1	BCELL	PB	3	13.1	DFCI	24.61	1185704	47.7
5202764005789146112904.H12.CEL	BCELLA1_4	122	HTA3	BCELLA1	BCELL	PB	4	13.1	DFCI	19.66	698625	45.8
5202764005789146112904.C12.CEL	BCELLA1_5	123	HTA3	BCELLA1	BCELL	PB	5	13.1	DFCI	23.83	1045083	48
5202764005789146112904.H11.CEL	BCELLA2_1	124	HTA3	BCELLA2	BCELL	PB	1	13.2	DFCI	22.03	452324	46.8
5202764005789146112904.F01.CEL	BCELLA2_2	125	HTA3	BCELLA2	BCELL	PB	2	13.2	DFCI	16.83	228846	47.5
5202764005789146112904.D05.CEL	BCELLA2_3	126	HTA3	BCELLA2	BCELL	PB	3	13.2	DFCI	17.46	223404	46.9
5202764005789146112904.B11.CEL	BCELLA2_4	127	HTA3	BCELLA2	BCELL	PB	4	13.2	DFCI	8.93	94135	42.3
5202764005789146112904.A02.CEL	BCELLA2_5	128	HTA3	BCELLA2	BCELL	PB	5	13.2	DFCI	7.97	80325	45.6
5202764005789146112904.C06.CEL	BCELLA3_1	129	HTA3	BCELLA3	BCELL	PB	1	13.3	DFCI	7.2	117795	46.6
5202764005789146112904.B12.CEL	BCELLA3_2	130	HTA3	BCELLA3	BCELL	PB	2	13.3	DFCI	4.61	33111	30.3
5202764005789146112904.E07.CEL	BCELLA3_3	131	HTA3	BCELLA3	BCELL	PB	3	13.3	DFCI	7.78	88747	46.4
5202764005789146112904.D11.CEL	BCELLA3_4	132	HTA3	BCELLA3	BCELL	PB	4	13.3	DFCI	4.55	57631	45
5202764005789146112904.F08.CEL	BCELLA3_5	133	HTA3	BCELLA3	BCELL	PB	5	13.3	DFCI	3.46	27898	44.2
5202764005789146112904.F04.CEL	BCELLA4_1	134	HTA3	BCELLA4	BCELL	PB	1	13.4	DFCI	21.78	466564	48.4
5202764005789146112904.C05.CEL	BCELLA4_2	135	HTA3	BCELLA4	BCELL	PB	2	13.4	DFCI	17.28	206993	36.1
5202764005789146112904.B01.CEL	BCELLA4_3	136	HTA3	BCELLA4	BCELL	PB	3	13.4	DFCI	20.45	504805	48.9
5202764005789146112904.G07.CEL	BCELLA4_4	137	HTA3	BCELLA4	BCELL	PB	4	13.4	DFCI	15.07	204941	48.2
5202764005789146112904.D12.CEL	BCELLA4_5	138	HTA3	BCELLA4	BCELL	PB	5	13.4	DFCI	10.54	119315	47.2
5202764005790179113004.B10.CEL	NKA1_1	139	HTA4	NKA1	NKCELL	PB	1	15.1	DFCI	9.32	192035	38.5
5202764005790179113004.B03.CEL	NKA1_2	140	HTA4	NKA1	NKCELL	PB	2	15.1	DFCI	13.73	401477	39.7
5202764005790179113004.F05.CEL	NKA1_4 	141	HTA4	NKA1	NKCELL	PB	4	15.1	DFCI	10.4	309365	44.2
5202764005790179113004.A09.CEL	NKA1_5	142	HTA4	NKA1	NKCELL	PB	1	15.1	DFCI	4.31	119251	30.2
5202764005790179113004.C01.CEL	NKA2_1	143	HTA4	NKA2	NKCELL	PB	2	15.2	DFCI	19.46	1596122	41.4
5202764005790179113004.A06.CEL	NKA2_2	144	HTA4	NKA2	NKCELL	PB	2	15.2	DFCI	21.71	2238493	40.3
5202764005790179113004.E08.CEL	NKA2_3 	145	HTA4	NKA2	NKCELL	PB	3	15.2	DFCI	21.58	789905	46.6
5202764005790179113004.B06.CEL	NKA2_4 	146	HTA4	NKA2	NKCELL	PB	4	15.2	DFCI	16.36	1463547	39.9
5202764005790179113004.A05.CEL	NKA2_5	147	HTA4	NKA2	NKCELL	PB	5	15.2	DFCI	19.29	2589755	40.9
5202764005790179113004.H09.CEL	NKA3_1	148	HTA4	NKA3	NKCELL	PB	1	15.3	DFCI	9.21	271702	36.9
5202764005790179113004.C05.CEL	NKA3_2	149	HTA4	NKA3	NKCELL	PB	2	15.3	DFCI	12.03	271029	44.4
5202764005790179113004.F01.CEL	NKA3_3 	150	HTA4	NKA3	NKCELL	PB	3	15.3	DFCI	6.63	65421	36
5202764005790179113004.E12.CEL	NKA3_5	151	HTA4	NKA3	NKCELL	PB	5	15.3	DFCI	4.07	84945	32.4
5202764005792184120204.D05.CEL	NKA3_4 	152	HTA5	NKA3	NKCELL	PB	4	15.3	DFCI	9.31	263515	36.5
5202764005790179113004.G02.CEL	NKA4_2 	153	HTA4	NKA4	NKCELL	PB	2	15.4	DFCI	0.71	2898	19.6
5202764005790179113004.D02.CEL	NKA4_3 	154	HTA4	NKA4	NKCELL	PB	3	15.4	DFCI	17.97	4779	42.1
5202764005790179113004.G10.CEL	NKA4_4 	155	HTA4	NKA4	NKCELL	PB	4	15.4	DFCI	0.75	25430	34.8
5202764005790179113004.F11.CEL	NKA4_5 	156	HTA4	NKA4	NKCELL	PB	5	15.4	DFCI	0.72	8626	25.2
5202764006152214120704.F11.CEL	TCELLA1_6	157	HTA1	TCELLA1	TCELL	PB	6	16.1	DFCI	1.48	373701	42.5
5202764005789149112904.B02.CEL	TCELLA1_5	158	HTA2	TCELLA1	TCELL	PB	5	16.1	DFCI	3.56	128626	44
5202764005789149112904.C09.CEL	TCELLA1_7	159	HTA2	TCELLA1	TCELL	PB	7	16.1	DFCI	2.37	37797	45.5
5202764005792184120204.B06.CEL	TCELLA1_11	160	HTA5	TCELLA1	TCELL	PB	11	16.1	DFCI	0.6	80247	25.2
5202764006152214120704.C07.CEL	TCELLA2_6	161	HTA1	TCELLA2	TCELL	PB	6	16.2	DFCI	5.6	836251	45.9
5202764006152214120704.D04.CEL	TCELLA2_7 	162	HTA1	TCELLA2	TCELL	PB	7	16.2	DFCI	10.55	450219	46.9
5202764005789149112904.A11.CEL	TCELLA2_3	163	HTA2	TCELLA2	TCELL	PB	3	16.2	DFCI	4.53	128020	46.4
5202764005789146112904.D10.CEL	TCELLA2_5 	164	HTA3	TCELLA2	TCELL	PB	5	16.2	DFCI	7.6	876225	46.5
5202764005790179113004.G08.CEL	TCELLA2_8	165	HTA4	TCELLA2	TCELL	PB	8	16.2	DFCI	17.69	795951	44.3
5202764005792184120204.E07.CEL	TCELLA2_10	166	HTA5	TCELLA2	TCELL	PB	10	16.2	DFCI	7.92	540359	35.9
5202764005792184120204.D10.CEL	TCELLA2_11	167	HTA5	TCELLA2	TCELL	PB	11	16.2	DFCI	6.5	642295	31.5
5202764006152214120704.C03.CEL	TCELLA3_3	168	HTA1	TCELLA3	TCELL	PB	3	16.3	DFCI	3.24	70952	40.9
5202764006152214120704.G10.CEL	TCELLA3_5	169	HTA1	TCELLA3	TCELL	PB	5	16.3	DFCI	3.6	174856	42.9
5202764005789146112904.A05.CEL	TCELLA3_7	170	HTA3	TCELLA3	TCELL	PB	7	16.3	DFCI	3.66	108616	48.3
5202764005790179113004.E06.CEL	TCELLA3_6	171	HTA4	TCELLA3	TCELL	PB	6	16.3	DFCI	2.35	337426	44.2
5202764005790179113004.B07.CEL	TCELLA3_8	172	HTA4	TCELLA3	TCELL	PB	8	16.3	DFCI	5.12	96374	38.3
5202764005792184120204.E01.CEL	TCELLA3_11	173	HTA5	TCELLA3	TCELL	PB	11	16.3	DFCI	3.73	406653	31.6
5202764005789149112904.F04.CEL	TCELLA4_3	174	HTA2	TCELLA4	TCELL	PB	3	16.4	DFCI	3.42	45061	44.1
5202764005789149112904.C05.CEL	TCELLA4_5	175	HTA2	TCELLA4	TCELL	PB	5	16.4	DFCI	2.14	43323	46.5
5202764005789149112904.E01.CEL	TCELLA4_6	176	HTA2	TCELLA4	TCELL	PB	6	16.4	DFCI	1.39	78636	44.8
5202764005789146112904.D04.CEL	TCELLA4_7	177	HTA3	TCELLA4	TCELL	PB	7	16.4	DFCI	2.96	58322	45.1
5202764005790179113004.C03.CEL	TCELLA4_8	178	HTA4	TCELLA4	TCELL	PB	8	16.4	DFCI	2.39	40663	32.9
5202764005792184120204.F05.CEL	TCELLA4_10	179	HTA5	TCELLA4	TCELL	PB	10	16.4	DFCI	0.1	78378	26.7
5202764005792184120204.F03.CEL	TCELLA4_11	180	HTA5	TCELLA4	TCELL	PB	11	16.4	DFCI	0.83	83717	29.4
5202764006152214120704.A11.CEL	TCELLA6_6	181	HTA1	TCELLA6	TCELL	PB	6	16.6	DFCI	3.44	509703	40.6
5202764005789146112904.E12.CEL	TCELLA6_3	182	HTA3	TCELLA6	TCELL	PB	3	16.6	DFCI	1.01	1267621	36.6
5202764005789146112904.E04.CEL	TCELLA6_5	183	HTA3	TCELLA6	TCELL	PB	5	16.6	DFCI	11.6	1096416	45.5
5202764005789146112904.E09.CEL	TCELLA6_7 	184	HTA3	TCELLA6	TCELL	PB	7	16.6	DFCI	14.67	1102935	48.5
5202764005790179113004.C10.CEL	TCELLA6_8	185	HTA4	TCELLA6	TCELL	PB	8	16.6	DFCI	15.96	821299	41.1
5202764005792184120204.B09.CEL	TCELLA6_10	186	HTA5	TCELLA6	TCELL	PB	10	16.6	DFCI	9.87	995547	37.5
5202764005792184120204.F01.CEL	TCELLA6_11	187	HTA5	TCELLA6	TCELL	PB	11	16.6	DFCI	13.74	2044	32.1
5202764006152214120704.C10.CEL	TCELLA7_5	188	HTA1	TCELLA7	TCELL	PB	5	16.7	DFCI	2.74	100540	41.4
5202764006152214120704.F08.CEL	TCELLA7_7	189	HTA1	TCELLA7	TCELL	PB	7	16.7	DFCI	6.77	330668	45.6
5202764005789149112904.B06.CEL	TCELLA7_6	190	HTA2	TCELLA7	TCELL	PB	6	16.7	DFCI	3.51	301146	45.3
5202764005789146112904.E10.CEL	TCELLA7_3 	191	HTA3	TCELLA7	TCELL	PB	3	16.7	DFCI	5.85	266020	49.3
5202764005790179113004.D05.CEL	TCELLA7_8	192	HTA4	TCELLA7	TCELL	PB	8	16.7	DFCI	8.67	277048	43.7
5202764005792184120204.H06.CEL	TCELLA7_10	193	HTA5	TCELLA7	TCELL	PB	10	16.7	DFCI	11.59	1495056	30.9
5202764005792184120204.A06.CEL	TCELLA7_11	194	HTA5	TCELLA7	TCELL	PB	11	16.7	DFCI	12.76	688416	28.4
5202764006152214120704.G03.CEL	TCELLA8_5	195	HTA1	TCELLA8	TCELL	PB	5	16.8	DFCI	7.66	419003	42.3
5202764006152214120704.C12.CEL	TCELLA8_6	196	HTA1	TCELLA8	TCELL	PB	6	16.8	DFCI	6.59	750366	43.9
5202764005789149112904.H06.CEL	TCELLA8_3	197	HTA2	TCELLA8	TCELL	PB	3	16.8	DFCI	14.74	877122	46.2
5202764005789146112904.C11.CEL	TCELLA8_7	198	HTA3	TCELLA8	TCELL	PB	7	16.8	DFCI	23.97	1128596	47.7
5202764005790179113004.E05.CEL	TCELLA8_8	199	HTA4	TCELLA8	TCELL	PB	8	16.8	DFCI	12.48	578567	44
5202764005792184120204.D02.CEL	TCELLA8_10	200	HTA5	TCELLA8	TCELL	PB	10	16.8	DFCI	9	939512	32.6
5202764005792184120204.H09.CEL	TCELLA8_11	201	HTA5	TCELLA8	TCELL	PB	11	16.8	DFCI	9.76	282129	30.5
5202764005790179113004.G01.CEL	DENDA1_2	202	HTA4	DENDA1	DEND	PB	2	17.1	DFCI	3.94	17690	31.7
5202764005790179113004.H08.CEL	DENDA1_3	203	HTA4	DENDA1	DEND	PB	3	17.1	DFCI	1.09	4053	25.6
5202764005790179113004.E07.CEL	DENDA1_4	204	HTA4	DENDA1	DEND	PB	4	17.1	DFCI	2.11	3663	34.3
5202764005790179113004_R.B12.CEL	DENDA1_5	205	HTA4	DENDA1	DEND	PB	5	17.1	DFCI	0.84	2435	16.0
5202764005792184120204.G04.CEL	DENDA1_1	206	HTA5	DENDA1	DEND	PB	1	17.1	DFCI	3.64	11534	30.2
5202764005790179113004.D04.CEL	DENDA2_1	207	HTA4	DENDA2	DEND	PB	1	17.2	DFCI	9.39	47915	44.7
